,tagid,survey_name,K_SRQ_1,K_SRQ_10,K_SRQ_11,K_SRQ_12,K_SRQ_13,K_SRQ_14,K_SRQ_15,K_SRQ_16,K_SRQ_17,K_SRQ_18,K_SRQ_19,K_SRQ_2,K_SRQ_20,K_SRQ_21,K_SRQ_22,K_SRQ_23,K_SRQ_3,K_SRQ_4,K_SRQ_5,K_SRQ_6,K_SRQ_7,K_SRQ_8,K_SRQ_9,survey_type,survey_date,KSRQ_adm_mean,KSRQ_negsoc_mean,KSRQ_pass_mean,KSRQ_prosoc_mean,KSRQ_sex_mean,KSRQ_social_mean
31,TAG040,W3S1 - V4,6,5,4,2,2,6,5,1,5,5,5,6,2,6,2,7,4,7,4,5,6,4,4,Sess 1,9/25/19,5.25,3,2,5.4,5.333,6
32,TAG041,W3S1 - V3,6,6,7,3,1,7,7,1,6,6,6,6,2,6,3,6,2,6,2,6,6,2,6,Sess 1,5/13/19,6.25,1.6,2.667,6.2,6,6.333
33,TAG042,W3S1 - V4,6,4,4,4,3,6,6,1,5,6,4,6,4,6,4,4,2,3,2,6,4,2,4,Sess 1,7/31/19,4.75,2,4,6,4,4.333
34,TAG044,W3S1 - V2,7,5,6,2,1,7,7,1,6,6,6,6,2,7,1,NA,1,6,1,6,5,2,6,Sess 1,4/18/19,6,1.2,1.667,6.4,6,6
35,TAG045,W3S1 - V4,4,4,4,1,1,4,7,1,4,7,4,1,1,7,4,4,7,4,7,4,4,7,4,Sess 1,7/16/19,4,4.6,2,5.2,4,4
36,TAG046,W3S1 - V4,7,5,6,3,1,6,4,4,5,7,4,6,3,6,4,4,2,6,2,6,6,4,4,Sess 1,9/27/19,6,2.6,3.333,5.8,4,5.667
37,TAG047,W3S1 - V4,4,4,6,1,1,7,5,1,4,7,4,7,1,7,2,1,1,4,1,6,4,1,4,Sess 1,9/18/19,4.5,1,1.333,6.4,3,5
38,TAG048,W3S1 - Current V5,5,7,5,6,1,5,7,1,6,7,6,7,2,7,2,5,1,6,1,7,6,1,6,Sess 1,11/30/19,5.5,1,3.333,7,5.667,6
39,TAG049,W3S1 - V4,7,4,5,2,1,6,6,1,5,7,4,7,1,7,1,4,2,6,2,7,6,2,4,Sess 1,8/26/19,5.75,1.6,1.333,6.8,4,5.333
40,TAG050,W3S1 - V2,7,6,7,5,2,5,6,4,5,7,3,6,4,7,4,NA,5,5,4,6,7,4,1,Sess 1,4/15/19,6.5,3.8,4.333,6.4,2,5.333
41,TAG051,W3S1 - V2,7,7,7,1,1,7,7,1,7,7,5,7,6,7,5,NA,1,6,1,7,7,2,5,Sess 1,3/29/19,7,1.2,4,7,5,6.667
42,TAG052,W3S1 - V4,4,6,6,1,1,6,7,2,5,4,5,4,1,6,1,6,3,6,2,2,2,6,1,Sess 1,7/19/19,4.25,2.8,1,4.6,4,6
43,TAG053,W3S1 - V3,7,6,6,3,5,6,7,2,4,7,6,3,2,6,2,4,6,1,2,7,6,2,7,Sess 1,5/31/19,5.75,3.4,2.333,6,5.667,4.333
44,TAG054,W3S1 - V3,6,2,6,1,1,6,7,1,7,7,4,7,1,7,4,4,1,6,2,7,6,1,4,Sess 1,6/7/19,6.25,1.2,2,7,4,4.667
45,TAG055,W3S1 - V2,7,4,7,6,2,3,7,2,7,7,1,6,6,7,5,NA,2,5,2,7,7,2,4,Sess 1,4/29/19,7,2,5.667,6.8,2.5,4
46,TAG056,W3S1 - V4,6,7,5,6,1,7,7,1,6,7,5,6,5,7,5,7,1,6,1,7,5,1,4,Sess 1,8/21/19,5.5,1,5.333,6.8,5.333,6.667
47,TAG057,W3S1 - V2,5,6,5,2,1,5,6,1,5,6,5,6,2,6,3,NA,2,6,2,7,6,2,4,Sess 1,3/26/19,5.25,1.6,2.333,6.2,4.5,5.667
48,TAG058,W3S1 - V2,7,3,7,3,1,7,5,6,7,7,7,5,3,6,2,NA,1,7,2,4,6,5,3,Sess 1,5/9/19,6.75,3,2.667,5.4,5,5.667
49,TAG059,W3S1 - V3,4,4,4,4,3,5,7,2,4,7,7,6,4,7,3,7,2,6,2,7,4,2,7,Sess 1,6/20/19,4,2.2,3.667,6.8,7,5
50,TAG060,W3S1 - V2,7,6,6,4,1,6,6,1,6,6,4,7,2,7,4,NA,1,6,2,6,6,1,4,Sess 1,4/11/19,6.25,1.2,3.333,6.4,4,6
51,TAG062,W3S1 - V4,7,4,4,1,1,4,7,1,7,6,1,7,1,7,4,6,1,3,1,7,7,1,7,Sess 1,8/26/19,6.25,1,2,6.8,4.667,3.667
52,TAG064,W3S1 - V3,6,7,7,4,1,6,7,1,6,6,5,6,4,7,4,6,1,6,2,7,6,2,6,Sess 1,5/23/19,6.25,1.4,4,6.6,5.667,6.333
53,TAG065,W3S1 - V3,6,6,5,2,2,2,7,1,5,7,6,6,2,7,4,7,1,4,2,6,5,1,5,Sess 1,6/4/19,5.25,1.4,2.667,6.6,6,4
54,TAG066,W3S1 - V3,7,6,6,1,2,6,6,1,6,7,4,7,2,7,2,4,2,2,1,7,6,2,5,Sess 1,6/22/19,6.25,1.6,1.667,6.8,4.333,4.667
55,TAG067,W3S1 - V2,6,6,5,3,2,5,6,2,6,7,6,6,2,6,4,NA,2,6,2,6,6,4,4,Sess 1,3/26/19,5.75,2.4,3,6.2,5,5.667
56,TAG068,W3S1 - Current V5,7,1,1,4,7,1,4,7,2,1,4,7,4,1,4,4,2,6,4,6,7,5,4,Sess 1,12/3/19,4.25,5,4,3.8,4,2.667
57,TAG069,W3S1 - V2,7,6,7,6,2,7,5,2,7,6,1,6,5,7,5,NA,2,4,1,7,3,2,4,Sess 1,4/13/19,6,1.8,5.333,6.2,2.5,5.667
58,TAG070,W3S1 - Current V5,6,6,5,4,2,6,6,1,3,4,4,6,4,6,4,4,2,4,3,6,5,4,4,Sess 1,10/28/19,4.75,2.4,4,5.6,4,5.333
59,TAG071,W3S1 - V4,6,5,6,2,1,7,7,1,7,7,4,7,1,7,2,4,2,7,1,7,7,1,5,Sess 1,8/23/19,6.5,1.2,1.667,7,4.333,6.333
60,TAG072,W3S1 - Past V6,7,5,4,2,2,5,6,1,5,7,5,7,2,6,5,5,1,5,2,6,6,2,5,Sess 1,3/30/21,5.5,1.6,3,6.4,5,5
61,TAG073,W3S1 - Current V5,7,7,7,1,1,7,7,1,7,7,7,7,2,7,2,4,1,6,5,7,7,2,6,Sess 1,12/30/19,7,2,1.667,7,5.667,6.667
62,TAG074,W3S1 - Current V7,6,6,6,4,1,6,7,2,6,7,4,7,2,7,4,2,2,6,4,7,6,2,3,Sess 1,6/25/21,6,2.2,3.333,7,3,6
63,TAG075,W3S1 - V4,6,6,7,4,2,6,6,2,6,6,6,6,2,7,4,6,2,6,1,7,7,2,5,Sess 1,10/17/19,6.5,1.8,3.333,6.4,5.667,6
64,TAG076,W3S1 - V4,7,6,6,3,2,6,7,1,6,7,6,7,2,7,3,6,1,6,2,6,6,2,6,Sess 1,9/5/19,6.25,1.6,2.667,6.8,6,6
65,TAG078,W3S1 - Current V5,7,6,6,1,4,6,6,2,6,7,6,6,2,6,2,5,4,6,2,7,6,2,5,Sess 1,10/29/19,6.25,2.8,1.667,6.4,5.333,6
66,TAG080,W3S1 - Current V5,7,6,6,4,2,6,6,2,6,6,4,7,3,7,3,4,2,5,4,4,6,2,4,Sess 1,12/30/19,6.25,2.4,3.333,6,4,5.667
67,TAG084,W3S1 - V3,7,7,7,6,1,6,6,1,7,7,6,6,5,7,5,4,4,3,4,7,7,2,6,Sess 1,6/26/19,7,2.4,5.333,6.6,5.333,5.333
68,TAG085,W3S1 - V4,6,6,4,2,1,5,6,1,6,7,7,7,1,7,4,7,2,4,4,7,2,1,7,Sess 1,7/18/19,4.5,1.8,2.333,6.8,7,5
69,TAG086,W3S1 - V4,6,2,2,2,3,2,3,4,4,6,4,6,5,6,4,4,4,4,4,6,4,4,6,Sess 1,7/1/19,4,3.8,3.667,5.4,4.667,2.667
70,TAG087,W3S1 - Current V7,7,6,6,4,2,6,6,1,6,7,5,7,2,7,4,5,2,5,3,6,5,1,4,Sess 1,5/27/21,6,1.8,3.333,6.6,4.667,5.667
71,TAG088,W3S1 - V4,6,6,6,3,1,4,7,1,4,6,5,7,2,7,4,6,1,6,1,6,7,1,6,Sess 1,10/12/19,5.75,1,3,6.6,5.667,5.333
72,TAG089,W3S1 - V3,2,1,1,4,1,1,7,1,1,7,1,6,1,7,4,1,1,4,2,2,4,1,5,Sess 1,5/28/19,2,1.2,3,5.8,2.333,2
73,TAG090,W3S1 - V4,6,5,4,2,2,4,7,1,2,6,4,6,2,7,4,5,2,5,2,5,4,2,4,Sess 1,7/9/19,4,1.8,2.667,6.2,4.333,4.667
74,TAG093,W3S1 - V4,6,6,6,2,1,6,7,1,5,7,5,7,1,7,4,6,1,6,1,7,6,1,6,Sess 1,8/22/19,5.75,1,2.333,7,5.667,6
75,TAG094,W3S1 - V3,7,6,6,1,1,4,6,1,6,7,4,7,1,7,2,4,1,4,1,4,5,1,4,Sess 1,5/21/19,6,1,1.333,6.2,4,4.667
76,TAG095,W3S1 - Past V6,6,6,6,1,2,5,6,2,6,7,2,5,2,6,2,5,5,4,2,6,6,5,4,Sess 1,11/15/20,6,3.2,1.667,6,3.667,5
77,TAG098,W3S1 - Current V5,6,4,5,3,2,4,5,1,5,5,1,7,1,6,1,1,2,2,2,4,4,2,2,Sess 1,12/23/19,5,1.8,1.667,5.4,1.333,3.333
78,TAG099,W3S1 - Current V5,6,6,6,3,3,5,7,1,6,6,4,6,3,6,4,4,3,4,2,6,6,4,4,Sess 1,1/31/20,6,2.6,3.333,6.2,4,5
79,TAG100,W3S1 - Current V5,6,6,6,1,1,7,7,1,4,7,5,7,1,7,1,4,1,6,1,4,6,2,5,Sess 1,11/21/19,5.5,1.2,1,6.4,4.667,6.333
80,TAG101,W3S1 - Past V6,6,5,6,4,2,5,6,2,6,6,6,6,5,7,4,6,4,5,2,6,6,2,5,Sess 1,2/1/21,6,2.4,4.333,6.2,5.667,5
81,TAG102,W3S1 - Current V5,3,4,3,2,2,3,6,2,2,6,2,4,2,6,3,2,5,2,2,3,4,2,2,Sess 1,11/19/19,3,2.6,2.333,5,2,3
82,TAG103,W3S1 - Past V6,4,4,3,4,1,4,6,1,5,4,3,6,2,6,3,4,1,5,1,5,3,2,2,Sess 1,2/4/21,3.75,1.2,3,5.4,3,4.333
83,TAG104,W3S1 - V4,7,5,7,6,1,5,6,1,6,7,5,6,6,6,5,4,4,5,2,7,6,1,6,Sess 1,9/11/19,6.5,1.8,5.667,6.4,5,5
84,TAG105,W3S1 - Current V5,7,6,7,1,2,6,6,2,7,7,3,6,2,6,1,3,2,6,2,6,7,2,5,Sess 1,1/29/20,7,2,1.333,6.2,3.667,6
85,TAG106,W3S1 - Past V6,7,6,7,2,2,5,6,2,5,7,6,7,3,6,5,4,1,6,5,6,6,4,6,Sess 1,2/17/21,6.25,2.8,3.333,6.4,5.333,5.667
86,TAG110,W3S1 - Past V6,7,6,6,2,2,6,6,1,6,6,5,7,2,6,2,4,2,6,2,6,6,2,5,Sess 1,4/14/21,6.25,1.8,2,6.2,4.667,6
87,TAG111,W3S1 - Current V5,6,6,6,2,2,6,6,2,5,6,6,6,2,6,2,6,4,4,4,6,6,4,5,Sess 1,2/3/20,5.75,3.2,2,6,5.667,5.333
88,TAG112,W3S1 - Current V5,7,6,7,5,2,5,5,1,7,6,6,7,5,7,4,4,1,5,2,7,6,2,6,Sess 1,2/1/20,6.75,1.6,4.667,6.4,5.333,5.333
89,TAG113,W3S1 - Current V5,6,6,6,4,2,6,6,2,6,6,4,6,2,6,2,4,2,5,2,6,5,2,6,Sess 1,12/13/19,5.75,2,2.667,6,4.667,5.667
90,TAG116,W3S1 - Current V7,7,4,6,2,1,3,7,1,5,7,4,7,3,7,4,4,1,4,2,4,4,1,4,Sess 1,5/7/21,5.5,1.2,3,6.4,4,3.667
91,TAG117,W3S1 - Current V5,5,6,6,4,3,6,6,1,6,6,5,6,6,6,5,4,1,6,2,6,6,1,5,Sess 1,12/5/19,5.75,1.6,5,6,4.667,6
92,TAG119,W3S1 - V4,7,3,7,1,1,6,5,1,6,7,2,7,1,7,1,1,1,2,1,7,4,1,3,Sess 1,9/26/19,6,1,1,6.6,2,3.667
93,TAG120,W3S1 - Past V6,7,7,7,2,2,7,6,1,7,7,7,6,1,7,2,7,2,6,2,6,6,3,7,Sess 1,12/24/20,6.75,2,1.667,6.4,7,6.667
94,TAG122,W3S1 - Past V6,6,3,6,1,2,3,6,2,6,7,5,5,1,6,2,4,5,3,3,6,4,3,5,Sess 1,12/7/20,5.5,3,1.333,6,4.667,3
95,TAG124,W3S1 - Current V7,5,1,4,1,4,1,4,2,1,7,2,7,1,5,1,1,4,1,3,4,5,1,1,Sess 1,8/9/21,3.75,2.8,1,5.4,1.333,1
96,TAG127,W3S1 - Current V7,6,2,5,6,1,1,7,1,5,7,1,7,2,7,6,1,1,1,2,7,1,1,1,Sess 1,7/10/21,4.25,1.2,4.667,7,1,1.333
97,TAG130,W3S1 - Current V5,6,6,4,2,1,6,7,2,5,6,4,6,2,6,3,4,2,5,3,6,5,2,4,Sess 1,11/5/19,5,2,2.333,6.2,4,5.667
98,TAG131,W3S1 - Current V5,7,6,5,4,1,5,7,1,6,7,5,7,2,7,3,4,1,5,2,6,6,1,4,Sess 1,2/22/20,6,1.2,3,6.8,4.333,5.333
99,TAG132,W3S1 - Current V5,7,6,7,4,1,7,7,1,7,7,6,6,2,7,3,7,2,7,3,7,6,2,7,Sess 1,2/8/20,6.75,1.8,3,6.8,6.667,6.667
100,TAG138,W3S1 - V4,5,7,5,5,6,4,7,2,4,7,5,7,4,7,6,4,1,5,2,7,5,4,4,Sess 1,10/14/19,4.75,3,5,7,4.333,5.333
101,TAG140,W3S1 - V4,6,6,5,5,1,5,7,1,6,6,4,6,4,6,6,4,1,5,2,6,6,2,4,Sess 1,10/11/19,5.75,1.4,5,6.2,4,5.333
102,TAG141,W3S1 - Current V5,6,7,6,2,1,6,7,1,6,7,2,7,1,6,3,1,2,4,1,6,5,1,6,Sess 1,2/5/20,5.75,1.2,2,6.6,3,5.667
103,TAG144,W3S1 - Current V5,6,7,5,2,1,6,7,1,6,5,6,7,3,7,5,6,1,7,2,2,5,2,2,Sess 1,1/6/20,5.5,1.4,3.333,5.6,4.667,6.667
104,TAG147,W3S1 - Past V6,7,6,7,5,1,5,6,1,7,7,6,7,3,7,3,4,1,5,1,7,7,1,6,Sess 1,12/4/20,7,1,3.667,6.8,5.333,5.333
105,TAG149,W3S1 - V4,7,6,7,2,1,6,7,2,7,7,5,7,2,7,3,6,1,6,1,6,7,1,6,Sess 1,7/26/19,7,1.2,2.333,6.8,5.667,6
106,TAG152,W3S1 - Past V6,6,6,6,2,2,5,6,1,7,6,4,6,2,6,6,3,2,3,2,6,7,2,5,Sess 1,12/21/20,6.5,1.8,3.333,6,4,4.667
107,TAG155,W3S1 - Current V7,7,6,6,3,1,4,7,1,5,6,5,7,2,7,5,4,2,6,3,6,6,1,5,Sess 1,7/27/21,6,1.6,3.333,6.6,4.667,5.333
108,TAG159,W3S1 - V4,7,4,5,2,1,7,7,1,4,7,5,7,2,7,3,5,1,7,1,7,5,2,6,Sess 1,8/9/19,5.25,1.2,2.333,7,5.333,6
109,TAG160,W3S1 - V4,7,6,7,1,1,7,7,1,7,7,6,7,1,7,2,7,2,6,1,7,7,1,7,Sess 1,8/8/19,7,1.2,1.333,7,6.667,6.333
110,TAG164,W3S1 - V4,7,6,6,5,2,6,6,1,7,7,6,6,5,7,4,7,2,7,5,7,6,2,5,Sess 1,8/16/19,6.5,2.4,4.667,6.6,6,6.333
111,TAG167,W3S1 - Current V5,6,6,6,3,1,5,6,1,6,7,4,7,2,6,4,4,1,5,2,7,6,2,6,Sess 1,1/24/20,6,1.4,3,6.6,4.667,5.333
112,TAG169,W3S1 - V4,7,6,7,5,1,7,6,3,6,6,6,6,2,7,2,7,3,7,2,7,6,3,6,Sess 1,10/20/19,6.5,2.4,3,6.4,6.333,6.667
113,TAG173,W3S1 - Past V6,7,6,5,5,2,4,7,1,4,6,6,7,4,7,5,NA,4,5,1,7,7,2,6,Sess 1,12/14/20,5.75,2,4.667,6.8,6,5
114,TAG176,W3S1 - Past V6,6,6,2,2,2,5,7,2,3,6,5,6,2,6,2,3,2,6,2,5,6,2,2,Sess 1,3/7/21,4.25,2,2,6,3.333,5.667
115,TAG177,W3S1 - V4,6,6,5,3,3,5,5,3,4,6,4,6,4,6,4,5,3,5,2,6,6,4,5,Sess 1,10/18/19,5.25,3,3.667,5.8,4.667,5.333
116,TAG179,W3S1 - Current V7,7,7,7,1,1,7,7,1,7,7,5,7,1,7,1,6,1,6,4,6,6,2,7,Sess 1,5/6/21,6.75,1.8,1,6.8,6,6.667
117,TAG180,W3S1 - Past V6,7,6,6,4,1,3,6,1,6,6,3,7,2,7,3,2,1,3,2,6,6,2,2,Sess 1,2/20/21,6.25,1.4,3,6.4,2.333,4
118,TAG181,W3S1 - V4,6,5,7,2,4,7,6,2,7,7,5,6,1,7,2,6,5,6,5,7,7,5,5,Sess 1,9/13/19,6.75,4.2,1.667,6.6,5.333,6
119,TAG186,W3S1 - Past V6,6,6,5,5,1,5,6,1,7,7,2,7,5,7,6,4,2,2,2,6,5,2,4,Sess 1,1/15/21,5.75,1.6,5.333,6.6,3.333,4.333
120,TAG188,W3S1 - Past V6,6,6,6,6,2,2,7,2,7,7,1,7,5,6,4,4,2,3,1,6,5,1,4,Sess 1,1/14/21,6,1.6,5,6.6,3,3.667
121,TAG190,W3S1 - Past V6,5,5,6,7,2,6,6,2,5,6,7,6,6,7,4,5,5,6,2,7,6,3,6,Sess 1,2/17/21,5.5,2.8,5.667,6.4,6,5.667
122,TAG192,W3S1 - Current V5,7,7,7,1,1,7,7,1,7,7,5,7,1,7,3,5,2,5,2,7,7,3,5,Sess 1,2/11/20,7,1.8,1.667,7,5,6.333
123,TAG194,W3S1 - Current V5,6,7,6,4,6,6,6,5,6,7,6,6,4,7,3,4,5,3,4,6,6,5,6,Sess 1,2/12/20,6,5,3.667,6.4,5.333,5.333
124,TAG200,W3S1 - Current V7,7,7,7,1,1,7,7,1,7,7,1,7,1,7,1,1,1,7,1,5,7,1,1,Sess 1,5/13/21,7,1,1,6.6,1,7
125,TAG202,W3S1 - Past V6,6,5,5,5,2,6,6,1,4,5,6,7,6,7,4,7,2,5,2,6,5,1,6,Sess 1,1/26/21,5,1.6,5,6.2,6.333,5.333
126,TAG203,W3S1 - Current V7,6,5,5,3,1,7,6,1,5,6,6,7,2,7,3,6,1,6,2,6,5,2,5,Sess 1,6/24/21,5.25,1.4,2.667,6.4,5.667,6
127,TAG205,W3S1 - Past V6,6,6,6,3,1,5,5,1,5,6,4,6,1,7,2,4,2,6,3,7,6,2,3,Sess 1,11/29/20,5.75,1.8,2,6.2,3.667,5.667
128,TAG207,W3S1 - Past V6,4,4,5,5,2,5,7,1,3,7,7,6,4,7,1,7,3,7,3,7,4,3,7,Sess 1,3/1/21,4,2.4,3.333,6.8,7,5.333
129,TAG208,W3S1 - Past V6,5,6,5,2,1,5,5,1,6,7,5,7,2,7,3,4,2,6,4,7,6,3,5,Sess 1,11/25/20,5.5,2.2,2.333,6.6,4.667,5.667
130,TAG209,W3S1 - Current V5,6,2,4,3,1,7,6,1,5,5,1,7,3,7,3,1,1,7,2,6,5,2,1,Sess 1,2/25/20,5,1.4,3,6.2,1,5.333
131,TAG210,W3S1 - Current V5,6,6,4,2,2,3,6,2,3,6,5,6,2,6,4,4,2,5,3,5,5,2,3,Sess 1,12/23/19,4.5,2.2,2.667,5.8,4,4.667
132,TAG211,W3S1 - Current V5,7,7,7,4,3,6,7,1,4,7,5,7,1,7,4,5,5,6,1,7,5,5,7,Sess 1,2/25/20,5.75,3,3,7,5.667,6.333
133,TAG215,W3S1 - Current V7,6,6,6,4,3,6,6,1,5,4,5,6,2,6,3,4,4,5,2,6,5,3,6,Sess 1,9/17/21,5.5,2.6,3,5.6,5,5.667
134,TAG218,W3S1 - Current V7,7,5,5,3,1,5,6,1,5,7,3,7,3,7,4,4,2,3,1,6,5,2,4,Sess 1,7/20/21,5.5,1.4,3.333,6.6,3.667,4.333
135,TAG220,W3S1 - Past V6,4,2,4,5,2,1,6,1,5,7,2,6,6,7,6,4,2,1,1,6,4,2,6,Sess 1,4/8/21,4.25,1.6,5.667,6.4,4,1.333
136,TAG221,W3S1 - Past V6,7,6,6,3,1,6,6,1,6,7,4,7,1,7,3,5,2,6,1,6,6,2,5,Sess 1,3/19/21,6.25,1.4,2.333,6.6,4.667,6
137,TAG223,W3S1 - Current V7,7,6,6,2,2,6,7,1,5,6,3,6,1,7,3,1,2,6,2,6,6,2,4,Sess 1,6/2/21,6,1.8,2,6.4,2.667,6
138,TAG224,W3S1 - Current V7,7,3,3,4,2,6,6,2,6,7,5,7,2,6,2,7,5,3,4,6,5,4,5,Sess 1,8/4/21,5.25,3.4,2.667,6.4,5.667,4
139,TAG225,W3S1 - Current V7,6,2,4,6,1,3,7,1,5,6,5,7,6,6,4,5,2,5,2,7,2,2,3,Sess 1,7/7/21,4.25,1.6,5.333,6.6,4.333,3.333
140,TAG232,W3S1 - Current V7,6,5,4,2,2,5,6,2,5,6,4,6,2,6,2,2,2,5,2,7,4,2,6,Sess 1,7/19/21,4.75,2,2,6.2,4,5
